"16/18" "16/19" "23/23" "13/14" "28/30" "12/13" "13/13" "11/11" "10/10" "11/14" "5/6" "8/11" "10/12" "15/15" "15/18" "21/22" "12/16" "32.2/32.2" "17/18" "12/12" "11/12" "8/11" "12/13" "6/8" "10/10" "11/11" 0.0483655 0.0462898 0.0534937 0.0668787 0.0607946 0.0688837 0.0692272 0.0949075 0.0373651 0.0189037 0.0906626 0.0349163 0.115331 0.0478273 61.1261 916.089 5.53606 91.3066
"15/18" "15/19" "21/22" "12/16" "28/30" "17/18" "12/12" "11/12" "10/10" "11/13" "6/8" "8/10" "10/12" "15/16" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "8/11" "12/14" "5/5" "10/11" "11/11" 0.166257 0.162021 0.17303 0.136597 0.148603 0.153914 0.131868 0.0986629 0.146911 0.116849 0.134279 0.117734 0.153441 0.137536 526.01 1477.96 20.2151 121.494
"15/18" "18/19" "21/22" "12/16" "28/30" "17/18" "12/12" "11/12" "8/10" "11/13" "6/8" "8/10" "11/12" "15/16" "15/16" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10" 0.142585 0.258843 0.259878 0.227151 0.192134 0.185509 0.256538 0.235721 0.269027 0.198524 0.245718 0.178671 0.212353 0.205755 613.276 933.485 34.8941 131.837
"15/18" "15/19" "21/22" "12/16" "28/30" "13/17" "12/12" "11/12" "8/10" "11/13" "6/8" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "32.2/32.2" "12/18" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10" 0.185323 0.246211 0.147177 0.192135 0.121151 0.213824 0.197565 0.193701 0.223265 0.1892 0.20108 0.188126 0.225842 0.190075 1088.54 1879.7 30.8369 128.137
"15/18" "15/19" "22/23" "12/16" "28/30" "17/18" "12/12" "11/12" "8/10" "11/13" "6/8" "8/10" "11/12" "15/16" "16/18" "21/22" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "10/10" 0.175563 0.161399 0.130526 0.139664 0.184797 0.169855 0.203118 0.126094 0.144906 0.119382 0.197675 0.135179 0.168956 0.157123 1901.93 4334.73 24.2723 125.843
"15/18" "15/19" "21/22" "12/16" "28/30" "17/18" "12/12" "11/12" "10/10" "11/13" "6/8" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "32.2/32.2" "12/13" "12/13" "11/11" "8/11" "12/14" "5/5" "8/11" "10/10" 0.338509 0.26967 0.310846 0.196518 0.203091 0.229987 0.247337 0.257377 0.287613 0.253721 0.257199 0.229849 0.274445 0.259802 271.108 268.312 48.0234 134.974
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/8" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "11/11" "10/10" 0.313981 0.339731 0.336891 0.341473 0.362301 0.326093 0.410415 0.391807 0.341174 0.296641 0.374132 0.376011 0.297855 0.347911 614.223 252.9 71.7745 133.653
"15/18" "15/19" "21/22" "13/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "12/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.115892 0.0477718 0.0861792 0.0809975 0.120973 0.0628003 0.124523 0.0774791 0.102863 0.0982715 0.13416 0.116337 0.13758 0.0990715 68.5244 356.284 12.1007 101.947
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/11" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.2346 0.215422 0.219145 0.200136 0.218447 0.132998 0.190802 0.224773 0.20553 0.181335 0.186605 0.166885 0.191959 0.191325 433.689 713.738 30.8369 127.112
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "22/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.0839329 0.0577453 0.0753978 0.0256788 0.0351621 0.0502866 0.0259091 0.0698795 0.030033 0.04281 0.053415 0.038021 0.0391437 0.0405394 48.7113 1121.48 5.53606 108.357
"16/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.0506659 0.0148134 0.0270797 0.01502 0.0614986 0.0331546 0.0546993 0.0992558 0.0256797 0.0406275 0.0127171 0.0635661 0.0322821 0.0294172 45.1181 2273.68 3.02859 67.9306
"15/18" "15/19" "21/22" "14/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "12/13" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.421044 0.419696 0.381379 0.422385 0.404843 0.456392 0.502736 0.37806 0.471593 0.428625 0.359075 0.376605 0.430007 0.391551 3293.84 761.786 79.8889 123.589
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/12" 0.0894772 0.0659021 0.0682136 0.0765616 0.0815465 0.119013 0.084499 0.12733 0.0834379 0.110744 0.0825852 0.108458 0.121182 0.089807 372.535 2107.16 12.1007 113.506
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "22/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.192888 0.149409 0.20988 0.207595 0.182457 0.198979 0.182641 0.225764 0.19152 0.139151 0.196769 0.162128 0.154784 0.166802 102.129 209.302 26.7797 129.773
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "12/12" "8/10" "11/13" "5/6" "8/10" "11/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/12" "10/11" "12/14" "8/8" "11/11" "10/10" 0.305299 0.218518 0.306137 0.323859 0.214243 0.310607 0.244015 0.336018 0.311245 0.238615 0.329901 0.257806 0.253909 0.279015 724.453 555.978 54.588 139.474
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "10/12" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "8/8" "8/11" "11/12" 0.173527 0.137035 0.236762 0.206768 0.229914 0.196352 0.206406 0.154299 0.173639 0.223744 0.103975 0.207114 0.137112 0.183763 856.548 1483.73 29.2872 126.646
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "12/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/12" "10/11" "12/14" "8/8" "8/11" "12/12" 0.29965 0.311552 0.375544 0.374748 0.284855 0.302646 0.345465 0.316143 0.315712 0.331448 0.312204 0.306294 0.335817 0.326229 202.33 105.954 65.2099 133.615
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/8" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "12/12" "10/11" "12/14" "6/8" "8/11" "12/12" 0.226044 0.168286 0.166324 0.208983 0.150666 0.200343 0.193997 0.148548 0.195975 0.199496 0.234959 0.150437 0.279928 0.178417 741.768 1446.51 29.2872 131.258
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/8" "8/11" "12/12" 0.0169999 0.0208613 0.0728265 0.0384896 0.0204481 0.0129794 0.0447211 0.0255715 0.0657465 0.0341757 0.0451971 0.0246736 0.0311276 0.0268231 5.53777 323.117 3.02859 74.6
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/13" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.191614 0.107598 0.10518 0.14478 0.123871 0.145857 0.156667 0.204484 0.142819 0.131547 0.132799 0.118215 0.182478 0.152169 659.574 1621.86 22.7225 122.03
"15/16" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/18" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.36345 0.344704 0.301318 0.37461 0.317255 0.310172 0.364969 0.281516 0.39096 0.39106 0.306716 0.352418 0.352953 0.334799 1152.32 570.277 67.7174 133.559
"15/18" "15/19" "21/22" "12/16" "30/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "28/28" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.179358 0.161166 0.183628 0.225127 0.178376 0.2533 0.172466 0.188911 0.227164 0.213518 0.181393 0.19506 0.23456 0.196961 1436.05 2243.41 33.3444 132.873
"15/18" "15/19" "21/22" "12/13" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "14/16" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.114371 0.13758 0.101066 0.126894 0.178052 0.114571 0.189647 0.164039 0.170854 0.149188 0.131889 0.127913 0.143703 0.14281 515.962 1411.86 20.2151 116.335
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/11" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/12" "10/11" "12/14" "8/8" "8/11" "12/12" 0.22619 0.253492 0.251735 0.301719 0.241898 0.20472 0.182696 0.22042 0.209933 0.266266 0.221565 0.209932 0.237889 0.226466 598.846 749.127 39.909 133.901
"15/18" "15/19" "21/21" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "22/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.317732 0.261351 0.246217 0.240178 0.330979 0.278635 0.291654 0.238592 0.272709 0.283497 0.259177 0.305482 0.233737 0.266398 2424.25 2136.43 50.5309 137.397
"16/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.0964352 0.142487 0.122708 0.0964349 0.0809193 0.13969 0.0733752 0.116036 0.136671 0.0895503 0.122935 0.125879 0.121741 0.110522 215.329 786.821 13.6504 102.81
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "6/8" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "5/5" "8/11" "12/12" 0.223897 0.257862 0.265593 0.23096 0.251588 0.25704 0.254216 0.21173 0.262096 0.21961 0.261101 0.220359 0.280576 0.254128 739.406 658.904 48.0234 139.014
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "11/12" 0.202355 0.283923 0.232891 0.197918 0.180739 0.218573 0.137717 0.245851 0.191569 0.257599 0.169122 0.181997 0.196222 0.210175 291.228 451.158 34.8941 128.372
"15/18" "15/19" "21/22" "12/16" "28/32.2" "13/18" "12/12" "11/12" "8/10" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/17" "12/13" "11/11" "10/11" "12/14" "8/8" "8/11" "12/12" 0.427753 0.439434 0.425808 0.402694 0.403548 0.443328 0.400898 0.481469 0.489938 0.468584 0.404715 0.439423 0.437076 0.427401 2801.31 320.898 88.961 118.844
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "10/11" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/8" "12/14" "8/8" "8/11" "12/12" 0.401266 0.371611 0.383901 0.35775 0.413696 0.427677 0.450814 0.380076 0.439891 0.411409 0.502492 0.448304 0.431076 0.425916 1140.52 114.427 88.961 119.561
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "8/10" "11/13" "5/8" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "10/11" "12/14" "6/6" "8/11" "12/12" 0.371263 0.293447 0.314351 0.317999 0.369609 0.329313 0.319754 0.344602 0.368545 0.352378 0.37831 0.370668 0.284838 0.350497 920.505 360.916 71.7745 132.152
"15/18" "15/19" "21/22" "12/16" "28/32.2" "17/18" "12/12" "11/12" "11/11" "11/13" "5/6" "8/10" "10/11" "15/16" "16/18" "21/23" "13/14" "30/30" "12/13" "12/13" "11/11" "8/10" "12/14" "8/8" "8/11" "12/12" 0.348753 0.376541 0.389497 0.409449 0.307 0.355403 0.393788 0.428636 0.384664 0.345846 0.337665 0.318589 0.381967 0.378241 1562.94 443.142 78.3392 128.132
